Scientific_Name,Missing_Status,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Sarcopetalum harveyanum,Missing,27,1998,1998-12-21,-33.90796,150.995278,Crest,1998,1998-12-21,-33.90796,150.995278,Crest,0,2,2,Crest,5e-06,1.4e-05,-33.90796,-33.907955,150.995264,150.995278
Melicope micrococca,Missing,27,1998,1998-12-21,-33.90796,150.995278,Crest,1998,1998-12-21,-33.90796,150.995278,Crest,0,2,2,Crest,5e-06,1.4e-05,-33.90796,-33.907955,150.995264,150.995278
Mentha diemenica,Missing,27,1998,1998-12-21,-33.910942,150.998453,Bellevue,1998,1998-12-21,-33.910942,150.998453,Bellevue,0,2,2,Bellevue,5e-06,1.4e-05,-33.910942,-33.910937,150.998439,150.998453
Echinopogon caespitosus var. caespitosus,Missing,27,1998,1998-12-21,-33.896631,150.977972,Lansdowne,1998,1998-12-21,-33.896631,150.977972,Lansdowne,0,2,2,Lansdowne,5e-06,1.4e-05,-33.896631,-33.896626,150.977958,150.977972
Chrysocephalum semipapposum,Missing,26,1999,1999-02-15,-33.903692,151.095678,Not in a reserve,1999,1999-02-15,-33.903692,151.095678,Not in a reserve,0,2,2,Not in a reserve,4e-06,1.4e-05,-33.903692,-33.903688,151.095664,151.095678
Eriochilus petricola,Missing,26,1999,1999-04-19,-33.965298,150.984274,Not in a reserve,1999,1999-04-19,-33.965298,150.984274,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Cassinia trinerva,Missing,26,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,0,2,2,Not in a reserve,0.0,0.0,-33.981062,-33.981062,150.99961,150.99961
Hibbertia serpyllifolia,Missing,26,1999,1999-05-05,-33.973341,151.009964,Not in a reserve,1999,1999-05-05,-33.973341,151.009964,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Leontodon saxatilis,Missing,26,1999,1999-02-15,-33.893488,151.062926,Norfolk Reserve,1999,1999-02-15,-33.893488,151.062926,Norfolk Reserve,0,3,3,Norfolk Reserve; Miram-Beena,0.016023,0.083109,-33.909506,-33.893483,150.979817,151.062926
Hibbertia empetrifolia,Missing,26,1999,1999-02-11,-33.900784,150.997609,Carysfield,1999,1999-02-11,-33.900784,150.997609,Carysfield,0,2,2,Carysfield,5e-06,1.4e-05,-33.900784,-33.900779,150.997595,150.997609
Lepidosperma concavum,Missing,26,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Pultenaea parviflora,Missing,26,1999,1999-02-11,-33.900784,150.997609,Carysfield,1999,1999-02-11,-33.900784,150.997609,Carysfield,0,2,2,Carysfield,5e-06,1.4e-05,-33.900784,-33.900779,150.997595,150.997609
Haemodorum planifolium,Missing,26,1999,1999-04-15,-33.974555,151.029417,Not in a reserve,1999,1999-04-15,-33.974555,151.029417,Not in a reserve,0,2,2,Not in a reserve,0.003657,0.003162,-33.974555,-33.970898,151.026255,151.029417
