Scientific_Name,Missing_Status,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Nelumbo nucifera,Recent,11,2014,2014-06-06,-33.967904,151.007012,Not in a reserve,2014,2014-06-06,-33.967904,151.007012,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Sporobolus elongatus,Recent,11,2014,2014-11-06,-33.894044,150.974255,Lansdowne,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,10,5,5,Not in a reserve; Lansdowne,0.016505,0.013933,-33.910549,-33.894044,150.974255,150.988188
Ipomoea quamoclit,Recent,10,2015,2015-03-09,-33.948533,150.992808,Not in a reserve,2015,2015-03-09,-33.948533,150.992808,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Acacia irrorata,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Isolepis prolifera,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Schoenoplectus tabernaemontani,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,11,5,5,Not in a reserve,0.055969,0.064089,-33.945433,-33.889464,150.983143,151.047232
Cotula coronopifolia,Recent,10,2015,2015-11-23,-33.950503,150.986053,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,11,3,3,Not in a reserve,0.061039,0.054236,-33.950503,-33.889464,150.986053,151.040289
Eucalyptus umbra,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2015,2015-09-08,-33.964295,150.982435,East Hills Park,0,1,1,East Hills Park,,,,,,
Lantana montevidensis,Recent,10,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Triglochin striata,Recent,10,2015,2015-03-14,-33.949172,150.974368,Deepwater,2008,2008-01-17,-33.928156,150.979715,Kentucky Reserve,7,3,3,Deepwater; Kentucky Reserve; Miram-Beena,0.040574,0.005347,-33.949172,-33.908598,150.974368,150.979715
Tulbaghia violacea,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Oxalis exilis,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,1999,1999-06-23,-33.94661,150.974342,Deepwater,16,16,16,Deepwater; Not in a reserve; Lansdowne; Miram-Beena; Kelso Beach; Virginius Reserve,0.0683,0.073987,-33.962176,-33.893876,150.972747,151.046734
Olearia microphylla,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,1999,1999-02-11,-33.900784,150.997609,Carysfield,16,13,13,Carysfield; East Hills Park; Norfolk Reserve; Not in a reserve; Lambeth Reserve; Deepwater,0.079858,0.082814,-33.973341,-33.893483,150.980112,151.062926
Gamochaeta purpurea,Recent,10,2015,2015-03-14,-33.949172,150.974368,Deepwater,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,11,7,7,Deepwater; Kentucky Reserve; Miram-Beena; Not in a reserve,0.040574,0.093109,-33.949172,-33.908598,150.974368,151.067477
Melilotus indicus,Recent,10,2015,2015-11-23,-33.947121,150.992657,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,11,7,7,Kelso Beach; Not in a reserve; Deepwater,0.06754,0.063625,-33.957004,-33.889464,150.978,151.041625
Opuntia elatior,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,2015,2015-11-23,-33.945555,150.979018,Deepwater,0,1,1,Deepwater,,,,,,
Selliera radicans,Recent,10,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,0,1,1,Miram-Beena,,,,,,
Linum marginale,Recent,10,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,1996,1996-05-28,-33.873956,150.983642,Not in a reserve,19,8,8,Miram-Beena; Not in a reserve; Crest; Lansdowne,0.036593,0.020735,-33.910549,-33.873956,150.973275,150.99401
Howea forsteriana,Recent,10,2015,2015-10-15,-33.95872,151.02234,Virginius Reserve,2015,2015-10-15,-33.95872,151.02234,Virginius Reserve,0,1,1,Virginius Reserve,,,,,,
Rosa rubiginosa,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Eucalyptus globulus,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2015,2015-09-08,-33.964295,150.982435,East Hills Park,0,1,1,East Hills Park,,,,,,
Persoonia lanceolata,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2010,2010-12-14,-33.976092,151.007833,Not in a reserve,5,3,3,East Hills Park; Not in a reserve,0.014994,0.025398,-33.979289,-33.964295,150.982435,151.007833
Ranunculus inundatus,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2009,2009-09-02,-33.952073,150.981742,Kelso Beach,6,2,2,Not in a reserve; Kelso Beach,0.007427,0.00896,-33.952073,-33.944646,150.981742,150.990702
Dianella prunina,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2015,2015-09-08,-33.964295,150.982435,East Hills Park,0,1,1,East Hills Park,,,,,,
Caladenia catenata,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,7,2,2,East Hills Park; Not in a reserve,0.016372,0.030383,-33.980667,-33.964295,150.982435,151.012818
Tragopogon porrifolius,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,2015,2015-11-23,-33.945555,150.979018,Deepwater,0,1,1,Deepwater,,,,,,
Solanum prinophyllum,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,1999,1999-06-23,-33.948872,150.974775,Deepwater,16,17,17,Deepwater; Not in a reserve; Lansdowne; Lot 5 Prescott Parade,0.055588,0.012519,-33.951621,-33.896033,150.968563,150.981082
Pultenaea hispidula,Recent,10,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,1994,1994-09-25,-33.976161,151.002878,Not in a reserve,21,3,3,Not in a reserve,0.085829,0.052351,-33.976161,-33.890332,151.002878,151.055229
Pterostylis rufa,Recent,10,2015,2015-11-03,-33.882008,151.01175,Not in a reserve,2015,2015-11-03,-33.882008,151.01175,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Cytisus scoparius,Recent,10,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,2004,2004-11-23,-33.891122,151.041625,Not in a reserve,11,3,3,Not in a reserve,0.002661,0.013604,-33.892993,-33.890332,151.041625,151.055229
Geranium solanderi,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,2014,2014-02-05,-33.949588,150.97427,Deepwater,1,6,6,Deepwater,0.004467,0.005202,-33.950022,-33.945555,150.973816,150.979018
Passiflora caerulea,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2007,2007-07-24,-33.930127,151.005778,Not in a reserve,8,2,2,Not in a reserve,0.015306,0.022635,-33.945433,-33.930127,150.983143,151.005778
Eucalyptus caleyi,Recent,10,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Ludwigia peploides,Recent,10,2015,2015-11-23,-33.950503,150.986053,Not in a reserve,2015,2015-11-23,-33.950503,150.986053,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Stellaria flaccida,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,1999,1999-06-23,-33.94661,150.974342,Deepwater,16,2,2,Deepwater,0.001055,0.004676,-33.94661,-33.945555,150.974342,150.979018
Lomandra micrantha,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2015,2015-09-08,-33.964295,150.982435,East Hills Park,0,1,1,East Hills Park,,,,,,
Hakea propinqua,Recent,10,2015,2015-05-09,-33.929541,151.128481,Not in a reserve,2015,2015-05-09,-33.929541,151.128481,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Epilobium hirtigerum,Recent,10,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,0,1,1,Miram-Beena,,,,,,
Grevillea juniperina,Recent,10,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Lolium rigidum,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2004,2004-11-22,-33.889464,150.99463,Not in a reserve,11,2,2,Not in a reserve,0.055182,0.003928,-33.944646,-33.889464,150.990702,150.99463
Diuris maculata,Recent,10,2015,2015-09-08,-33.964295,150.982435,East Hills Park,2015,2015-09-08,-33.964295,150.982435,East Hills Park,0,1,1,East Hills Park,,,,,,
Apium prostratum,Recent,10,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,2015,2015-12-10,-33.908598,150.974971,Miram-Beena,0,2,2,Miram-Beena; Not in a reserve,0.041905,0.011082,-33.950503,-33.908598,150.974971,150.986053
Pimelea spicata,Recent,10,2015,2015-09-23,-33.909722,150.988611,Not in a reserve,1969,1969-09-09,-33.901465,150.984076,Not in a reserve,46,313,313,Amaroo; Bellevue; Crest; Lansdowne; Manahan Reserve; Not in a reserve,0.030088,0.037467,-33.920239,-33.890151,150.969438,151.006905
Lepidium bonariense,Recent,10,2015,2015-03-14,-33.949172,150.974368,Deepwater,2001,2001-12-21,-33.97277,150.998412,Lambeth Reserve,14,6,6,Not in a reserve; Deepwater; Miram-Beena; Lambeth Reserve,0.071679,0.024044,-33.97277,-33.901091,150.974368,150.998412
Hypericum perforatum,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,11,4,4,Not in a reserve; Deepwater,0.039451,0.010188,-33.95,-33.910549,150.978,150.988188
Acacia mearnsii,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,2015,2015-11-23,-33.945555,150.979018,Deepwater,0,2,2,Deepwater; Not in a reserve,0.002211,0.012834,-33.947766,-33.945555,150.979018,150.991852
Zoysia macrantha,Recent,10,2015,2015-03-14,-33.949172,150.974368,Deepwater,2015,2015-03-14,-33.949172,150.974368,Deepwater,0,2,2,Deepwater; Miram-Beena,0.040574,0.000603,-33.949172,-33.908598,150.974368,150.974971
Urtica incisa,Recent,10,2015,2015-11-23,-33.945555,150.979018,Deepwater,2015,2015-11-23,-33.945555,150.979018,Deepwater,0,1,1,Deepwater,,,,,,
Polygonum aviculare,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2001,2001-12-21,-33.972962,150.996914,Not in a reserve,14,4,4,Not in a reserve,0.051251,0.006322,-33.972962,-33.921711,150.990702,150.997024
Sisymbrium officinale,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Myriophyllum aquaticum,Recent,10,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,2015,2015-11-23,-33.944646,150.990702,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Fraxinus angustifolia,Recent,10,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,2015,2015-11-23,-33.945433,150.983143,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Wahlenbergia stricta,Recent,10,2015,2015-09-23,-33.909722,150.988611,Not in a reserve,1998,1998-12-21,-33.910942,150.998453,Bellevue,17,8,8,Bellevue; Not in a reserve; Crest; Lansdowne,0.016672,0.021403,-33.910942,-33.89427,150.97705,150.998453
Xanthorrhoea media,Recent,9,2016,2016-11-18,-33.957833,151.040861,Salt Pan Reserve,1999,1999-04-15,-33.974555,151.029417,Not in a reserve,17,4,4,Not in a reserve; Salt Pan Reserve,0.071,0.121027,-33.974555,-33.903555,150.97475,151.095777
Wahlenbergia capillaris,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,1999,1999-05-05,-33.931641,151.038249,Not in a reserve,17,12,12,Not in a reserve; Crest; Lansdowne,0.043863,0.086032,-33.931641,-33.887778,150.966746,151.052778
Cissus hypoglauca,Recent,9,2016,2016-04-09,-33.929541,151.128481,Not in a reserve,2007,2007-04-16,-33.947905,150.972817,Deepwater,9,7,7,Deepwater; Not in a reserve,0.045219,0.155954,-33.97441,-33.929191,150.972817,151.128771
Goodenia ovata,Recent,9,2016,2016-12-13,-33.939379,151.088832,Not in a reserve,2006,2006-06-05,-33.897071,151.029586,Not in a reserve,10,6,6,Norfolk Reserve; Not in a reserve; Deepwater; Virginius Reserve,0.068585,0.112951,-33.962176,-33.893591,150.975881,151.088832
Dodonaea viscosa,Recent,9,2016,2016-11-28,-33.951111,150.981111,Not in a reserve,2016,2016-11-28,-33.951111,150.981111,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Tecoma stans,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Lomandra cylindrica,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,17,8,8,Not in a reserve,0.093284,0.053168,-33.981062,-33.887778,150.99961,151.052778
Phyllostachys nigra,Recent,9,2016,2016-06-22,-33.911385,151.130478,Not in a reserve,2016,2016-06-22,-33.911385,151.130478,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Stackhousia viminea,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,1998,1998-12-21,-33.910942,150.998453,Bellevue,18,7,7,Bellevue; Not in a reserve; Lansdowne; Crest,0.023257,0.075728,-33.911035,-33.887778,150.97705,151.052778
Polygala virgata,Recent,9,2016,2016-09-08,-33.887222,151.053333,Not in a reserve,2016,2016-09-08,-33.887222,151.053333,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Poranthera microphylla,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,1998,1998-12-21,-33.910942,150.998453,Bellevue,18,24,24,Adept Lane Reserve; Bellevue; Carysfield; Crest; Deepwater; Kelso Beach; Lansdowne; Louisa; Norfolk Reserve; Not in a reserve; Miram-Beena,0.069226,0.090796,-33.957004,-33.887778,150.971814,151.06261
Ageratina riparia,Recent,9,2016,2016-05-02,-33.904674,150.979362,Lansdowne,2016,2016-05-02,-33.904674,150.979362,Lansdowne,0,1,1,Lansdowne,,,,,,
Caladenia carnea,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Allocasuarina diminuta,Recent,9,2016,2016-09-08,-33.887222,151.053333,Not in a reserve,2016,2016-09-08,-33.887222,151.053333,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Poa sieberiana,Recent,9,2016,2016-11-30,-33.903889,150.994444,Not in a reserve,2006,2006-12-04,-33.97194,151.032868,Not in a reserve,10,3,3,Not in a reserve; Lansdowne,0.07767,0.055818,-33.97194,-33.89427,150.97705,151.032868
Populus alba,Recent,9,2016,2016-11-16,-33.921556,151.131528,Not in a reserve,2016,2016-11-16,-33.921556,151.131528,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Dodonaea multijuga,Recent,9,2016,2016-11-28,-33.951111,150.981111,Not in a reserve,2005,2005-11-22,-33.95068,150.97986,Deepwater,11,17,17,Deepwater; Kelso Beach; Not in a reserve,0.004942,0.009264,-33.952073,-33.947131,150.972478,150.981742
Dillwynia parvifolia,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,1996,1996-05-31,-33.88627,151.020112,Not in a reserve,20,14,14,Carysfield; Louisa; Not in a reserve; Walshaw Park; Kelso Beach,0.074459,0.071591,-33.952073,-33.877614,150.981742,151.053333
Calotis dentex,Recent,9,2016,2016-11-30,-33.903056,150.998056,Carysfield,1999,1999-06-23,-33.94661,150.974342,Deepwater,17,8,8,Deepwater; Carysfield; Not in a reserve; Lambeth Reserve; Lot 5 Prescott Parade,0.069705,0.025925,-33.972761,-33.903056,150.972476,150.998401
Lolium multiflorum,Recent,9,2016,2016-11-18,-33.963306,151.011361,Not in a reserve,2016,2016-11-18,-33.963306,151.011361,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Callistemon sieberi,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Banksia ericifolia,Recent,9,2016,2016-08-10,-33.977778,150.996944,Not in a reserve,2015,2015-09-23,-33.909722,150.988611,Not in a reserve,1,2,2,Not in a reserve,0.068056,0.008333,-33.977778,-33.909722,150.988611,150.996944
Sagittaria platyphylla,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,2008,2008-02-14,-33.973846,151.004433,Not in a reserve,8,2,2,Not in a reserve,0.056313,0.024426,-33.973846,-33.917533,150.980007,151.004433
Leptospermum laevigatum,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Leptospermum lanigerum,Recent,9,2016,2016-11-18,-33.957833,151.040861,Salt Pan Reserve,2016,2016-11-18,-33.957833,151.040861,Salt Pan Reserve,0,1,1,Salt Pan Reserve,,,,,,
Misopates orontium,Recent,9,2016,2016-05-02,-33.904674,150.979362,Lansdowne,2009,2009-08-10,-33.91084,150.996698,Crest,7,2,2,Lansdowne; Crest,0.006166,0.017336,-33.91084,-33.904674,150.979362,150.996698
Salix babylonica,Recent,9,2016,2016-05-02,-33.904674,150.979362,Lansdowne,2011,2011-11-11,-33.940296,150.971796,Not in a reserve,5,2,2,Lansdowne; Not in a reserve,0.035622,0.007566,-33.940296,-33.904674,150.971796,150.979362
Schoenus apogon,Recent,9,2016,2016-10-19,-33.926833,151.141472,Not in a reserve,2010,2010-12-14,-33.972536,151.037905,Not in a reserve,6,4,4,Not in a reserve,0.045703,0.112649,-33.972536,-33.926833,151.028823,151.141472
Viminaria juncea,Recent,9,2016,2016-12-02,-33.926806,151.141417,Not in a reserve,2014,2014-11-20,-33.926806,151.141417,Not in a reserve,2,2,2,Not in a reserve,0.0,0.0,-33.926806,-33.926806,151.141417,151.141417
Hibbertia dentata,Recent,9,2016,2016-11-04,-33.935705,151.116059,Not in a reserve,2006,2006-03-17,-33.933966,151.117842,Not in a reserve,10,7,7,Not in a reserve,0.00623,0.01229,-33.93623,-33.93,151.11514,151.12743
Dendrophthoe vitellina,Recent,9,2016,2016-11-10,-33.917533,150.980007,Not in a reserve,1999,1999-05-05,-33.931641,151.038249,Not in a reserve,17,7,7,Deepwater; Not in a reserve,0.048874,0.067716,-33.945555,-33.896681,150.979018,151.046734
Roldana petasitis,Recent,9,2016,2016-08-10,-33.977778,150.996944,Not in a reserve,2016,2016-08-10,-33.977778,150.996944,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Linum trigynum,Recent,9,2016,2016-09-08,-33.887222,151.053333,Not in a reserve,2004,2004-01-16,-33.910549,150.988188,Not in a reserve,12,5,5,Not in a reserve; Lansdowne,0.034499,0.073174,-33.921721,-33.887222,150.980159,151.053333
Juncus pallidus,Recent,9,2016,2016-11-18,-33.917469,150.974383,Kentucky Reserve,2016,2016-11-18,-33.917469,150.974383,Kentucky Reserve,0,1,1,Kentucky Reserve,,,,,,
Trifolium subterraneum,Recent,9,2016,2016-06-22,-33.909525,151.133937,Not in a reserve,2016,2016-06-22,-33.909525,151.133937,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Isolepis levynsiana,Recent,9,2016,2016-05-10,-33.917327,150.974644,Not in a reserve,2008,2008-04-12,-33.892402,150.976402,Lansdowne,8,2,2,Lansdowne; Not in a reserve,0.024925,0.001758,-33.917327,-33.892402,150.974644,150.976402
Acacia brownii,Recent,9,2016,2016-11-18,-33.957833,151.040861,Salt Pan Reserve,1999,1999-05-05,-33.931641,151.038249,Not in a reserve,17,3,3,Salt Pan Reserve; Not in a reserve,0.070055,0.014529,-33.957833,-33.887778,151.038249,151.052778
Rytidosperma setaceum,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,2014,2014-11-07,-33.896654,150.978886,Lansdowne,2,6,6,Deepwater; Not in a reserve; Lansdowne,0.057777,0.077892,-33.945555,-33.887778,150.974886,151.052778
Pultenaea linophylla,Recent,9,2016,2016-09-08,-33.887778,151.052778,Not in a reserve,2012,2012-11-09,-33.926722,151.141417,Not in a reserve,4,4,4,Not in a reserve,0.038972,0.088639,-33.92675,-33.887778,151.052778,151.141417
Rytidosperma fulvum,Recent,8,2017,2017-07-05,-33.892794,151.022068,Not in a reserve,2001,2001-12-21,-33.972098,150.995917,Lambeth Reserve,16,24,24,Kelso Beach; Not in a reserve; Deepwater; Carysfield; Crest; Dalton Reserve; Flood Reserve; Lambeth Reserve; Lansdowne; Norfolk Reserve; Salt Pan Reserve; Walshaw Park,0.092398,0.088371,-33.980667,-33.888269,150.97436,151.062731
Aristolochia elegans,Recent,8,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Vinca major,Recent,8,2017,2017-08-30,-33.973212,150.998172,Lambeth Reserve,2017,2017-08-30,-33.973212,150.998172,Lambeth Reserve,0,2,2,Lambeth Reserve; Not in a reserve,0.080418,0.023896,-33.973212,-33.892794,150.998172,151.022068
Hibiscus rosa-sinensis,Recent,8,2017,2017-08-10,-33.903058,151.105969,Not in a reserve,2017,2017-08-10,-33.903058,151.105969,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Eucalyptus consideniana,Recent,8,2017,2017-11-21,-33.877268,150.989959,Not in a reserve,2017,2017-11-21,-33.877268,150.989959,Not in a reserve,0,3,3,Not in a reserve,0.0,0.0,-33.877268,-33.877268,150.989959,150.989959
Capsella bursa-pastoris,Recent,8,2017,2017-08-10,-33.903058,151.105969,Not in a reserve,2004,2004-10-08,-33.909349,150.994229,Crest,13,4,4,Crest; Not in a reserve; Deepwater,0.066202,0.127969,-33.96926,-33.903058,150.978,151.105969
Leptospermum polyanthum,Recent,8,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Ipomoea cairica,Recent,8,2017,2017-07-05,-33.892794,151.022068,Not in a reserve,2001,2001-12-21,-33.972098,150.995917,Lambeth Reserve,16,4,4,Not in a reserve; Lambeth Reserve,0.080168,0.031366,-33.972962,-33.892794,150.990702,151.022068
Hyparrhenia hirta,Recent,8,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Persoonia pinifolia,Recent,8,2017,2017-03-02,-33.979368,151.015177,Not in a reserve,2016,2016-11-18,-33.957833,151.040861,Salt Pan Reserve,1,2,2,Not in a reserve; Salt Pan Reserve,0.021535,0.025684,-33.979368,-33.957833,151.015177,151.040861
Typha latifolia,Recent,8,2017,2017-09-05,-33.942,151.04,Salt Pan Reserve,2017,2017-09-05,-33.942,151.04,Salt Pan Reserve,0,1,1,Salt Pan Reserve,,,,,,
Epacris pulchella,Recent,7,2018,2018-03-16,-33.972306,151.034,Not in a reserve,2008,2008-05-21,-33.980667,151.012818,Not in a reserve,10,2,2,Not in a reserve,0.008361,0.021182,-33.980667,-33.972306,151.012818,151.034
Epacris longiflora,Recent,7,2018,2018-04-16,-33.9269,151.147854,Not in a reserve,2007,2007-02-27,-33.929191,151.128771,Not in a reserve,11,6,6,Not in a reserve; Salt Pan Reserve,0.031166,0.106993,-33.957833,-33.926667,151.040861,151.147854
Eleocharis sphacelata,Recent,7,2018,2018-05-23,-33.907757,150.982387,Amaroo,2015,2015-09-15,-33.890332,151.055229,Not in a reserve,3,2,2,Amaroo; Not in a reserve,0.017425,0.072842,-33.907757,-33.890332,150.982387,151.055229
Zieria pilosa,Recent,7,2018,2018-04-16,-33.9269,151.147854,Not in a reserve,2001,2001-12-21,-33.972761,150.998401,Lambeth Reserve,17,10,10,Davies Road; Not in a reserve; Lambeth Reserve,0.054059,0.149453,-33.980667,-33.926608,150.998401,151.147854
Afrohybanthus stellarioides,Recent,7,2018,2018-11-05,-33.908272,150.993922,Crest,2018,2018-11-05,-33.908272,150.993922,Crest,0,1,1,Crest,,,,,,
Prunus persica,Recent,7,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Dianella longifolia var. longifolia,Recent,7,2018,2018-05-23,-33.897071,150.973545,Lansdowne,1999,1999-06-28,-33.902277,150.978906,Lansdowne,19,5,5,Lansdowne,0.011167,0.008161,-33.902277,-33.89111,150.970745,150.978906
Banksia aemula,Recent,7,2018,2018-03-30,-33.971306,151.033611,Not in a reserve,2018,2018-03-30,-33.971306,151.033611,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Richardia stellaris,Recent,7,2018,2018-05-23,-33.89111,150.970745,Lansdowne,1999,1999-02-15,-33.903692,151.095678,Not in a reserve,19,9,9,Not in a reserve; Kentucky Reserve; Lansdowne; Miram-Beena; Deepwater,0.05889,0.124933,-33.95,-33.89111,150.970745,151.095678
Aristea ecklonii,Recent,7,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Hakea teretifolia,Recent,7,2018,2018-04-07,-33.891781,151.03223,Not in a reserve,1886,1886-11-27,-33.915297,151.134272,Not in a reserve,132,2,2,Not in a reserve,0.023516,0.102042,-33.915297,-33.891781,151.03223,151.134272
Erechtites valerianifolius,Recent,7,2018,2018-05-18,-33.933291,150.97841,Not in a reserve,2018,2018-05-18,-33.933291,150.97841,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Phaseolus vulgaris,Recent,7,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Pomaderris ferruginea,Recent,7,2018,2018-03-23,-33.971806,151.033806,Not in a reserve,1996,1996-04-17,-33.973061,151.034337,Not in a reserve,22,9,9,Carysfield; Not in a reserve; Crest; Lansdowne; Monash Reserve; Norfolk Reserve,0.082636,0.089425,-33.973061,-33.890425,150.973275,151.0627
Grevillea banksii,Recent,7,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,2018,2018-04-04,-33.917913,151.116308,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Poa affinis,Recent,7,2018,2018-09-06,-33.926583,151.147664,Not in a reserve,1999,1999-06-22,-33.981062,150.99961,Not in a reserve,19,23,23,Deepwater; Kelso Beach; Not in a reserve; Salt Pan Reserve; Lambeth Reserve,0.084381,0.172928,-33.981062,-33.896681,150.974736,151.147664
